Boolean	boolean
ID	abc
LPAREN	(
Int	int
ID	a
COMMA	,
ID	char
ID	c
RPAREN	)
LB	{
If	if
LPAREN	(
ID	a
ASSIGN	=
Integer	5
RPAREN	)
LB	{
ID	a
ASSIGN	=
Integer	3
ADD	+
Integer	4
SEMI	;
RB	}
Else	else
If	if
LPAREN	(
ID	a
ASSIGN	=
Integer	6
RPAREN	)
LB	{
ID	a
ASSIGN	=
Integer	5
MUL	*
Integer	6
SEMI	;
RB	}
Else	else
LB	{
ID	a
ASSIGN	=
Integer	6
MINUS	-
Integer	4
SEMI	;
ID	a
ASSIGN	=
ID	a
DIVIDE	/
Integer	4
SEMI	;
RB	}
String	string
ID	kk
ASSIGN	=
Literal_String	"asdasdvds"
SEMI	;
ID	c
ASSIGN	=
14th file's line errors ERROR TOKEN VARIABLE  '* in this 	c = '*';

